ID,eta,pt,p,phi,motherPDG,nClusters,pDca,chi2,chi2MatchMCHMID,chi2MatchMCHMFT
30383,13.7452,0.00435167,2028.02,-34.8926,211,10,176.295,2.41172e+07,-1,35.5
57089,3.13021,1.31991,15.1277,2.59822,-321,10,101.609,1.41722e+06,-1,79
124301,-2.11891,1.23244,5.20225,-3.04924,-321,10,29.6977,1.46637e+06,-1,60.25
172327,-2.99416,0.429891,4.30291,-2.58319,211,11,74.2861,1096,-1,17.375
247929,-2.77647,0.526986,4.2487,-0.495488,321,10,57.7322,90.5,-1,29.875
162752,-3.10767,1.94077,21.7498,2.4909,-421,11,14.9575,17.625,-1,2.92188
262366,2.80295,0.25761,2.13222,-2.43719,211,10,63.9341,602112,-1,25.25
403420,-3.60972,0.64918,12.0043,-1.51481,-211,10,108.573,128,-1,13.4375
472095,-3.12547,0.854223,9.7443,0.424637,321,11,89.6324,12.5,-1,9.4375
